Wholesale price trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260526204716

Parameters
Date range,01 Jan 2021 - 31 Dec 2025
Region type,New Zealand
Time scale,Day
Show,Simple average

Period start,Period end,Region ID,Region,Price ($/MWh)
01/01/2021,02/01/2021,NZ,New Zealand,107.11
02/01/2021,03/01/2021,NZ,New Zealand,77.81
03/01/2021,04/01/2021,NZ,New Zealand,48.84
04/01/2021,05/01/2021,NZ,New Zealand,65.15
05/01/2021,06/01/2021,NZ,New Zealand,112.96
06/01/2021,07/01/2021,NZ,New Zealand,104.08
07/01/2021,08/01/2021,NZ,New Zealand,102.49
08/01/2021,09/01/2021,NZ,New Zealand,115.00
09/01/2021,10/01/2021,NZ,New Zealand,134.99
10/01/2021,11/01/2021,NZ,New Zealand,105.91
11/01/2021,12/01/2021,NZ,New Zealand,141.81
12/01/2021,13/01/2021,NZ,New Zealand,160.86
13/01/2021,14/01/2021,NZ,New Zealand,202.23
14/01/2021,15/01/2021,NZ,New Zealand,217.97
15/01/2021,16/01/2021,NZ,New Zealand,276.30
16/01/2021,17/01/2021,NZ,New Zealand,170.61
17/01/2021,18/01/2021,NZ,New Zealand,124.44
18/01/2021,19/01/2021,NZ,New Zealand,99.09
19/01/2021,20/01/2021,NZ,New Zealand,100.09
20/01/2021,21/01/2021,NZ,New Zealand,92.13
21/01/2021,22/01/2021,NZ,New Zealand,114.91
22/01/2021,23/01/2021,NZ,New Zealand,107.17
23/01/2021,24/01/2021,NZ,New Zealand,99.19
24/01/2021,25/01/2021,NZ,New Zealand,100.18
25/01/2021,26/01/2021,NZ,New Zealand,121.91
26/01/2021,27/01/2021,NZ,New Zealand,194.26
27/01/2021,28/01/2021,NZ,New Zealand,233.96
28/01/2021,29/01/2021,NZ,New Zealand,170.46
29/01/2021,30/01/2021,NZ,New Zealand,155.21
30/01/2021,31/01/2021,NZ,New Zealand,198.87
31/01/2021,01/02/2021,NZ,New Zealand,162.21
01/02/2021,02/02/2021,NZ,New Zealand,144.97
02/02/2021,03/02/2021,NZ,New Zealand,165.61
03/02/2021,04/02/2021,NZ,New Zealand,267.73
04/02/2021,05/02/2021,NZ,New Zealand,311.23
05/02/2021,06/02/2021,NZ,New Zealand,296.72
06/02/2021,07/02/2021,NZ,New Zealand,173.76
07/02/2021,08/02/2021,NZ,New Zealand,211.11
08/02/2021,09/02/2021,NZ,New Zealand,251.60
09/02/2021,10/02/2021,NZ,New Zealand,181.12
10/02/2021,11/02/2021,NZ,New Zealand,152.90
11/02/2021,12/02/2021,NZ,New Zealand,150.04
12/02/2021,13/02/2021,NZ,New Zealand,175.90
13/02/2021,14/02/2021,NZ,New Zealand,231.48
14/02/2021,15/02/2021,NZ,New Zealand,252.61
15/02/2021,16/02/2021,NZ,New Zealand,233.23
16/02/2021,17/02/2021,NZ,New Zealand,166.83
17/02/2021,18/02/2021,NZ,New Zealand,193.46
18/02/2021,19/02/2021,NZ,New Zealand,243.99
19/02/2021,20/02/2021,NZ,New Zealand,212.49
20/02/2021,21/02/2021,NZ,New Zealand,175.66
21/02/2021,22/02/2021,NZ,New Zealand,196.22
22/02/2021,23/02/2021,NZ,New Zealand,329.18
23/02/2021,24/02/2021,NZ,New Zealand,369.49
24/02/2021,25/02/2021,NZ,New Zealand,379.27
25/02/2021,26/02/2021,NZ,New Zealand,364.89
26/02/2021,27/02/2021,NZ,New Zealand,340.66
27/02/2021,28/02/2021,NZ,New Zealand,349.36
28/02/2021,01/03/2021,NZ,New Zealand,293.20
01/03/2021,02/03/2021,NZ,New Zealand,322.21
02/03/2021,03/03/2021,NZ,New Zealand,337.14
03/03/2021,04/03/2021,NZ,New Zealand,237.48
04/03/2021,05/03/2021,NZ,New Zealand,220.50
05/03/2021,06/03/2021,NZ,New Zealand,160.33
06/03/2021,07/03/2021,NZ,New Zealand,200.95
07/03/2021,08/03/2021,NZ,New Zealand,130.80
08/03/2021,09/03/2021,NZ,New Zealand,172.38
09/03/2021,10/03/2021,NZ,New Zealand,177.58
10/03/2021,11/03/2021,NZ,New Zealand,178.86
11/03/2021,12/03/2021,NZ,New Zealand,149.67
12/03/2021,13/03/2021,NZ,New Zealand,144.49
13/03/2021,14/03/2021,NZ,New Zealand,165.54
14/03/2021,15/03/2021,NZ,New Zealand,180.71
15/03/2021,16/03/2021,NZ,New Zealand,231.87
16/03/2021,17/03/2021,NZ,New Zealand,156.05
17/03/2021,18/03/2021,NZ,New Zealand,204.03
18/03/2021,19/03/2021,NZ,New Zealand,206.57
19/03/2021,20/03/2021,NZ,New Zealand,248.11
20/03/2021,21/03/2021,NZ,New Zealand,289.01
21/03/2021,22/03/2021,NZ,New Zealand,297.96
22/03/2021,23/03/2021,NZ,New Zealand,280.06
23/03/2021,24/03/2021,NZ,New Zealand,440.06
24/03/2021,25/03/2021,NZ,New Zealand,512.76
25/03/2021,26/03/2021,NZ,New Zealand,473.13
26/03/2021,27/03/2021,NZ,New Zealand,285.31
27/03/2021,28/03/2021,NZ,New Zealand,291.39
28/03/2021,29/03/2021,NZ,New Zealand,235.96
29/03/2021,30/03/2021,NZ,New Zealand,276.82
30/03/2021,31/03/2021,NZ,New Zealand,323.00
31/03/2021,01/04/2021,NZ,New Zealand,281.79
01/04/2021,02/04/2021,NZ,New Zealand,234.26
02/04/2021,03/04/2021,NZ,New Zealand,228.89
03/04/2021,04/04/2021,NZ,New Zealand,243.70
04/04/2021,05/04/2021,NZ,New Zealand,136.82
05/04/2021,06/04/2021,NZ,New Zealand,206.26
06/04/2021,07/04/2021,NZ,New Zealand,237.36
07/04/2021,08/04/2021,NZ,New Zealand,321.82
08/04/2021,09/04/2021,NZ,New Zealand,360.65
09/04/2021,10/04/2021,NZ,New Zealand,364.54
10/04/2021,11/04/2021,NZ,New Zealand,334.99
11/04/2021,12/04/2021,NZ,New Zealand,293.46
12/04/2021,13/04/2021,NZ,New Zealand,327.71
13/04/2021,14/04/2021,NZ,New Zealand,320.42
14/04/2021,15/04/2021,NZ,New Zealand,343.58
15/04/2021,16/04/2021,NZ,New Zealand,265.81
16/04/2021,17/04/2021,NZ,New Zealand,216.17
17/04/2021,18/04/2021,NZ,New Zealand,253.60
18/04/2021,19/04/2021,NZ,New Zealand,209.75
19/04/2021,20/04/2021,NZ,New Zealand,219.45
20/04/2021,21/04/2021,NZ,New Zealand,306.61
21/04/2021,22/04/2021,NZ,New Zealand,258.30
22/04/2021,23/04/2021,NZ,New Zealand,276.42
23/04/2021,24/04/2021,NZ,New Zealand,273.59
24/04/2021,25/04/2021,NZ,New Zealand,232.53
25/04/2021,26/04/2021,NZ,New Zealand,203.83
26/04/2021,27/04/2021,NZ,New Zealand,240.50
27/04/2021,28/04/2021,NZ,New Zealand,299.77
28/04/2021,29/04/2021,NZ,New Zealand,312.71
29/04/2021,30/04/2021,NZ,New Zealand,269.22
30/04/2021,01/05/2021,NZ,New Zealand,317.95
01/05/2021,02/05/2021,NZ,New Zealand,256.37
02/05/2021,03/05/2021,NZ,New Zealand,287.74
03/05/2021,04/05/2021,NZ,New Zealand,344.93
04/05/2021,05/05/2021,NZ,New Zealand,283.55
05/05/2021,06/05/2021,NZ,New Zealand,240.26
06/05/2021,07/05/2021,NZ,New Zealand,265.80
07/05/2021,08/05/2021,NZ,New Zealand,297.90
08/05/2021,09/05/2021,NZ,New Zealand,271.54
09/05/2021,10/05/2021,NZ,New Zealand,209.66
10/05/2021,11/05/2021,NZ,New Zealand,179.56
11/05/2021,12/05/2021,NZ,New Zealand,183.31
12/05/2021,13/05/2021,NZ,New Zealand,241.91
13/05/2021,14/05/2021,NZ,New Zealand,326.83
14/05/2021,15/05/2021,NZ,New Zealand,364.19
15/05/2021,16/05/2021,NZ,New Zealand,223.71
16/05/2021,17/05/2021,NZ,New Zealand,228.15
17/05/2021,18/05/2021,NZ,New Zealand,277.65
18/05/2021,19/05/2021,NZ,New Zealand,257.56
19/05/2021,20/05/2021,NZ,New Zealand,247.03
20/05/2021,21/05/2021,NZ,New Zealand,235.91
21/05/2021,22/05/2021,NZ,New Zealand,212.08
22/05/2021,23/05/2021,NZ,New Zealand,271.53
23/05/2021,24/05/2021,NZ,New Zealand,281.14
24/05/2021,25/05/2021,NZ,New Zealand,307.03
25/05/2021,26/05/2021,NZ,New Zealand,348.22
26/05/2021,27/05/2021,NZ,New Zealand,399.79
27/05/2021,28/05/2021,NZ,New Zealand,397.73
28/05/2021,29/05/2021,NZ,New Zealand,421.15
29/05/2021,30/05/2021,NZ,New Zealand,424.86
30/05/2021,31/05/2021,NZ,New Zealand,364.15
31/05/2021,01/06/2021,NZ,New Zealand,406.87
01/06/2021,02/06/2021,NZ,New Zealand,354.64
02/06/2021,03/06/2021,NZ,New Zealand,368.31
03/06/2021,04/06/2021,NZ,New Zealand,314.66
04/06/2021,05/06/2021,NZ,New Zealand,314.73
